timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781717132764,1826,JP03_TC01_HomePage_Launch_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,5664,525,1,4,null,0,14,1656
1781717132769,1826,JP03_TC01_HomePage_Launch/actions/Catalog.action-175,200,,Thread Group_AddToCart 3-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,1824,0,1656
1781717132575,1865,JP02_TC02_Click_EnterTheStore_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ViewDetails 2-1,,true,,5664,525,1,4,null,0,173,1688
1781717132746,1865,JP02_TC02_Click_EnterTheStore/actions/Catalog.action-57,200,,Thread Group_ViewDetails 2-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,1864,0,1688
1781717132764,1854,JP01_TC01_HomePage_launch_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_Search 1-1,,true,,1452,455,1,4,null,0,6,1673
1781717132769,1854,JP01_TC01_HomePage_launch/-4,200,,Thread Group_Search 1-1,text,true,,1452,455,1,4,https://petstore.octoperf.com/,1854,0,1673
1781717132739,1879,JP04_TC01_HomePage_Launch_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ProductBooking 4-1,,true,,5664,525,1,4,null,0,7,1695
1781717132745,1879,JP04_TC01_HomePage_Launch/actions/Catalog.action-212,200,,Thread Group_ProductBooking 4-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,1878,0,1695
1781717136858,173,JO03_TC02_SignIN_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,4093,656,1,4,null,0,5,0
1781717136862,173,JP03_TC02_SignIN/actions/Account.action;jsessionid=64794F0FA7C8E7F671060090EA8E315B-179,200,,Thread Group_AddToCart 3-1,text,true,,4093,656,1,4,https://petstore.octoperf.com/actions/Account.action;jsessionid=693BD71C5C21957619655183AB4ECF23?signonForm=,173,0,0
1781717139662,191,JP01_TC02_Click_EnterTheStore_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_Search 1-1,,true,,5664,525,1,4,null,0,5,0
1781717139665,191,JP01_TC02_Click_EnterTheStore/actions/Catalog.action-13,200,,Thread Group_Search 1-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,190,0,0
1781717140782,187,JP04_TC02_SignIN_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ProductBooking 4-1,,true,,4097,612,1,4,null,0,5,0
1781717140784,187,JP04_TC02_SignIN/actions/Account.action-215,200,,Thread Group_ProductBooking 4-1,text,true,,4097,612,1,4,https://petstore.octoperf.com/actions/Account.action?signonForm=,187,0,0
1781717140916,337,JP03_TC03_Login_1_1,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,5372,1655,1,4,null,0,3,0
1781717140917,172,JP03_TC03_Login1/actions/Account.action-181,302,,Thread Group_AddToCart 3-1,,true,,230,999,1,4,https://petstore.octoperf.com/actions/Account.action,172,0,0
1781717141090,165,JP03_TC03_Login2/actions/Catalog.action-182,200,,Thread Group_AddToCart 3-1,text,true,,5142,656,1,4,https://petstore.octoperf.com/actions/Catalog.action,164,0,0
1781717141299,178,JP02_TC03_Select_Product_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ViewDetails 2-1,,true,,3666,631,1,4,null,0,2,0
1781717141300,178,JP02_TC03_Select_Product/actions/Catalog.action-58,200,,Thread Group_ViewDetails 2-1,text,true,,3666,631,1,4,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,178,0,0
1781717145450,167,JP03_TC04_Select_Product_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,4065,630,1,4,null,0,2,0
1781717145451,167,JP03_TC04_Select_Product/actions/Catalog.action-183,200,,Thread Group_AddToCart 3-1,text,true,,4065,630,1,4,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,167,0,0
1781717146024,185,JP01_TC03_Search_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_Search 1-1,,true,,4081,967,1,4,null,0,1,0
1781717146024,185,JP01_TC03_Search/actions/Catalog.action;jsessionid=FBAEF459EE3D12E0BBF243058232AB9F-31,200,,Thread Group_Search 1-1,text,true,,4081,967,1,4,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=573D83928A9395466042EDC0D95B7C76,185,0,0
1781717147441,169,JP03_TC05_Select_SubProduct_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,3963,662,1,4,null,0,2,0
1781717147442,169,JP03_TC05_Select_SubProduct/actions/Catalog.action-184,200,,Thread Group_AddToCart 3-1,text,true,,3963,662,1,4,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,169,0,0
1781717148227,5,Debug Sampler,200,OK,Thread Group_Search 1-1,text,true,,1527,0,1,4,null,0,0,0
1781717148565,178,JP02_TC04_Select_SubProduct_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ViewDetails 2-1,,true,,3837,663,1,3,null,0,1,0
1781717148565,178,JP02_TC04_Select_SubProduct/actions/Catalog.action-60,200,,Thread Group_ViewDetails 2-1,text,true,,3837,663,1,3,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=AV-CB-01,178,0,0
